policy_inline_not_concurrent|Inline
policy_pinned_pin_capture|PinnedZone
policy_pinned_raw_slot_capture|PinnedZone
negative_pin_requires_movability|Reject
negative_live_view_requires_movability|Reject
negative_raw_channel_requires_movability|Reject
policy_blocking_io_ffi|BlockingPool
policy_local_async_await_heavy|LocalAsync
policy_worker_deterministic_fork_join|WorkerPool
positive_movable_value_authority|MovableScheduler
policy_worker_value_no_authority|WorkerPool
policy_local_async_bare_concurrent|LocalAsync
air_parallel_fork_join|WorkerPool
air_parallel_fork_join_repeat|WorkerPool
air_parallel_no_evidence|LocalAsync
air_parallel_no_evidence_repeat|LocalAsync
air_parallel_await_local|LocalAsync
air_parallel_await_local_repeat|LocalAsync
negative_movability_without_value_evidence|LocalAsync
negative_raw_slot_requires_movability|Reject
air_spawn_value_authority|MovableScheduler
negative_fork_join_raw_slot_pins|PinnedZone
air_parallel_value_worker|WorkerPool
negative_await_live_view_pins|PinnedZone
air_parallel_empty_local_async|LocalAsync
air_zone_no_pin_evidence|LocalAsync
air_zone_pin_evidence|PinnedZone
air_channel_raw_channel_pins|PinnedZone
air_channel_no_evidence|LocalAsync
air_execution_no_pin|LocalAsync
air_execution_pin_cleanup|PinnedZone
producer_promotes_value_movable|MovableScheduler
producer_rejects_resource_movable|Reject
